Source Folder ID,File Name,Mime Type,File ID,Web View Link,Direct Download Link,Created,Last Updated,Size (Bytes)
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,3. Cake By The Ocean.mov,video/quicktime,1jusV_L2hG15cOEDmlCX3uLsHfks963Jk,https://drive.google.com/file/d/1jusV_L2hG15cOEDmlCX3uLsHfks963Jk/view,https://drive.google.com/uc?export=download&id=1jusV_L2hG15cOEDmlCX3uLsHfks963Jk,4/28/2023,4/28/2023,47682241
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,2. Sir Duke.mov,video/quicktime,1xq2-DH8LqgYjm1tdkZmdAo9zDlkqJcgC,https://drive.google.com/file/d/1xq2-DH8LqgYjm1tdkZmdAo9zDlkqJcgC/view,https://drive.google.com/uc?export=download&id=1xq2-DH8LqgYjm1tdkZmdAo9zDlkqJcgC,4/28/2023,4/28/2023,157175815
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,Copy of Private Event - Cali Love,video/quicktime,1t6u1uHu-EZJqxx7_xURH7Hu3pFtSCV8V,https://drive.google.com/file/d/1t6u1uHu-EZJqxx7_xURH7Hu3pFtSCV8V/view,https://drive.google.com/uc?export=download&id=1t6u1uHu-EZJqxx7_xURH7Hu3pFtSCV8V,4/28/2023,4/28/2023,101853727
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,Brick House.mov,video/quicktime,1ks2BMuyFWntxnqR0v88rFv-1FXBz-OIU,https://drive.google.com/file/d/1ks2BMuyFWntxnqR0v88rFv-1FXBz-OIU/view,https://drive.google.com/uc?export=download&id=1ks2BMuyFWntxnqR0v88rFv-1FXBz-OIU,11/17/2025,11/17/2025,31260387
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,MSV 2024-12-16_MSV.MOV,video/quicktime,1g7pAM17alArPMvjB1mXHOM-na00Vox7E,https://drive.google.com/file/d/1g7pAM17alArPMvjB1mXHOM-na00Vox7E/view,https://drive.google.com/uc?export=download&id=1g7pAM17alArPMvjB1mXHOM-na00Vox7E,11/17/2025,11/17/2025,68002444
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,10. Cake By The Ocean.mov,video/quicktime,1tPA3_Bzat0HXov6iTPuHf5fqSx5Bmyy5,https://drive.google.com/file/d/1tPA3_Bzat0HXov6iTPuHf5fqSx5Bmyy5/view,https://drive.google.com/uc?export=download&id=1tPA3_Bzat0HXov6iTPuHf5fqSx5Bmyy5,11/17/2025,11/17/2025,117525192
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,Bass Solo.MP4,video/mp4,11Nx5gl98-q66RUzsSkvXGp53GxvRpILj,https://drive.google.com/file/d/11Nx5gl98-q66RUzsSkvXGp53GxvRpILj/view,https://drive.google.com/uc?export=download&id=11Nx5gl98-q66RUzsSkvXGp53GxvRpILj,7/19/2023,11/17/2025,75817392
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,At Last.mov,video/quicktime,1jofqJ5i-mARaKS2reZUhPH3A87rWECAu,https://drive.google.com/file/d/1jofqJ5i-mARaKS2reZUhPH3A87rWECAu/view,https://drive.google.com/uc?export=download&id=1jofqJ5i-mARaKS2reZUhPH3A87rWECAu,11/17/2025,11/17/2025,37091653
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,8. Uptown Funk.mov,video/quicktime,1XP0K9Wm6r5XlEsxaFlBLcbLXfeSwac8j,https://drive.google.com/file/d/1XP0K9Wm6r5XlEsxaFlBLcbLXfeSwac8j/view,https://drive.google.com/uc?export=download&id=1XP0K9Wm6r5XlEsxaFlBLcbLXfeSwac8j,11/17/2025,11/17/2025,102345489
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,Fly Me To The Moon.mov,video/quicktime,1oBwcgbxuEJRADdiZEKy-IrXZK8molhp3,https://drive.google.com/file/d/1oBwcgbxuEJRADdiZEKy-IrXZK8molhp3/view,https://drive.google.com/uc?export=download&id=1oBwcgbxuEJRADdiZEKy-IrXZK8molhp3,11/17/2025,11/17/2025,116486656
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,7. Up Town Funk- Studio Recording,video/mp4,1fnpuYpAat0cXFCPwEwDyKWr8rlViAxF_,https://drive.google.com/file/d/1fnpuYpAat0cXFCPwEwDyKWr8rlViAxF_/view,https://drive.google.com/uc?export=download&id=1fnpuYpAat0cXFCPwEwDyKWr8rlViAxF_,12/25/2020,11/17/2025,257228838
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,7.Usher.mov,video/quicktime,1etWb5hLy0kccVgynlgbnKph748WjwZ_e,https://drive.google.com/file/d/1etWb5hLy0kccVgynlgbnKph748WjwZ_e/view,https://drive.google.com/uc?export=download&id=1etWb5hLy0kccVgynlgbnKph748WjwZ_e,11/17/2025,11/17/2025,56571738
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,5. Lady Marmalade.MOV,video/quicktime,1VwIFTvhBkyu6aP3UOe9wYflMsrOwx2Qd,https://drive.google.com/file/d/1VwIFTvhBkyu6aP3UOe9wYflMsrOwx2Qd/view,https://drive.google.com/uc?export=download&id=1VwIFTvhBkyu6aP3UOe9wYflMsrOwx2Qd,11/14/2025,11/17/2025,40033356
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,7. I Wish.mov,video/quicktime,1iU_vyCq_oiBkKJ4_D7koSg5vLmr3iZXY,https://drive.google.com/file/d/1iU_vyCq_oiBkKJ4_D7koSg5vLmr3iZXY/view,https://drive.google.com/uc?export=download&id=1iU_vyCq_oiBkKJ4_D7koSg5vLmr3iZXY,11/17/2025,11/17/2025,78001037
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,6. Unwritten .mov,video/quicktime,1BzWYvftFsq3ceOCHynYbJV5PquhR5-DC,https://drive.google.com/file/d/1BzWYvftFsq3ceOCHynYbJV5PquhR5-DC/view,https://drive.google.com/uc?export=download&id=1BzWYvftFsq3ceOCHynYbJV5PquhR5-DC,11/17/2025,11/17/2025,66440637
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,5. Give It Too Me.mov,video/quicktime,1upgjfx5tGA4KpHumf_G7U0eJ6lMUER20,https://drive.google.com/file/d/1upgjfx5tGA4KpHumf_G7U0eJ6lMUER20/view,https://drive.google.com/uc?export=download&id=1upgjfx5tGA4KpHumf_G7U0eJ6lMUER20,11/14/2025,11/17/2025,54011925
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,4. Sir Duke.mov,video/quicktime,1S8rf4y34MS0kMDDyps85O8ri3P4Etg8K,https://drive.google.com/file/d/1S8rf4y34MS0kMDDyps85O8ri3P4Etg8K/view,https://drive.google.com/uc?export=download&id=1S8rf4y34MS0kMDDyps85O8ri3P4Etg8K,11/17/2025,11/17/2025,56978333
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,3. Jungle Boogie.MOV,video/quicktime,1wRhI6SrD_yQoT4xpvlEbb-xzE1qujPDg,https://drive.google.com/file/d/1wRhI6SrD_yQoT4xpvlEbb-xzE1qujPDg/view,https://drive.google.com/uc?export=download&id=1wRhI6SrD_yQoT4xpvlEbb-xzE1qujPDg,7/19/2023,11/17/2025,105990399
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,Signed Sealed Delivered.mov,video/quicktime,1LNim-oL4wwrF-tMuxyUJiWJD_ch0ZBBl,https://drive.google.com/file/d/1LNim-oL4wwrF-tMuxyUJiWJD_ch0ZBBl/view,https://drive.google.com/uc?export=download&id=1LNim-oL4wwrF-tMuxyUJiWJD_ch0ZBBl,11/17/2025,11/17/2025,72428667
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,2. Journey.MOV,video/quicktime,1PRwMDzhIO4_PyMmnbesMshv45pZjwLYp,https://drive.google.com/file/d/1PRwMDzhIO4_PyMmnbesMshv45pZjwLYp/view,https://drive.google.com/uc?export=download&id=1PRwMDzhIO4_PyMmnbesMshv45pZjwLYp,7/19/2023,11/17/2025,97797747
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,1. Sweet Caroline.mov,video/quicktime,1HoLiZZHwkWgtL8IseYvYZCxHlbW_6vNv,https://drive.google.com/file/d/1HoLiZZHwkWgtL8IseYvYZCxHlbW_6vNv/view,https://drive.google.com/uc?export=download&id=1HoLiZZHwkWgtL8IseYvYZCxHlbW_6vNv,11/17/2025,11/17/2025,110299385
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,This Will Be.mov,video/quicktime,1skRYGPA4Y5BZecisNIKzeQCWBljTBmbf,https://drive.google.com/file/d/1skRYGPA4Y5BZecisNIKzeQCWBljTBmbf/view,https://drive.google.com/uc?export=download&id=1skRYGPA4Y5BZecisNIKzeQCWBljTBmbf,11/14/2025,11/17/2025,64893627
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,What is Hip.MP4,video/mp4,1ACL8U4BbLXgsyn-pca9PqCMrnzNvwplM,https://drive.google.com/file/d/1ACL8U4BbLXgsyn-pca9PqCMrnzNvwplM/view,https://drive.google.com/uc?export=download&id=1ACL8U4BbLXgsyn-pca9PqCMrnzNvwplM,11/14/2025,11/17/2025,13156296
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE,25or6too4.mov,video/quicktime,1_yQaFe8EcjtumJaDOTASJLsayd_xRCzL,https://drive.google.com/file/d/1_yQaFe8EcjtumJaDOTASJLsayd_xRCzL/view,https://drive.google.com/uc?export=download&id=1_yQaFe8EcjtumJaDOTASJLsayd_xRCzL,11/14/2025,11/14/2025,188391479
