Source Folder ID	File Name	Mime Type	File ID	Web View Link	Direct Download Link	Created	Last Updated	Size (Bytes)	Width (px)	Height (px)	Orientation
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	5. Superstition Sax Solo.mov	video/quicktime	1v_oJ46Ip8B99LjT9h87myvtOxU49Li5Z	https://drive.google.com/file/d/1v_oJ46Ip8B99LjT9h87myvtOxU49Li5Z/view	https://drive.google.com/uc?export=download&id=1v_oJ46Ip8B99LjT9h87myvtOxU49Li5Z	2023-04-28T20:39:55.122Z	2023-04-28T21:19:57.045Z	112548798	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	4. Tennessee Whiskey	video/quicktime	1oyHIqJ55NKgBvTzY1QoU6obpcXpjQD3n	https://drive.google.com/file/d/1oyHIqJ55NKgBvTzY1QoU6obpcXpjQD3n/view	https://drive.google.com/uc?export=download&id=1oyHIqJ55NKgBvTzY1QoU6obpcXpjQD3n	2023-04-28T20:54:46.240Z	2023-04-28T21:18:54.504Z	105858225	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	3. Cake By The Ocean.mov	video/quicktime	1jusV_L2hG15cOEDmlCX3uLsHfks963Jk	https://drive.google.com/file/d/1jusV_L2hG15cOEDmlCX3uLsHfks963Jk/view	https://drive.google.com/uc?export=download&id=1jusV_L2hG15cOEDmlCX3uLsHfks963Jk	2023-04-28T20:21:29.296Z	2023-04-28T21:18:27.575Z	47682241	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	2. Sir Duke.mov	video/quicktime	1xq2-DH8LqgYjm1tdkZmdAo9zDlkqJcgC	https://drive.google.com/file/d/1xq2-DH8LqgYjm1tdkZmdAo9zDlkqJcgC/view	https://drive.google.com/uc?export=download&id=1xq2-DH8LqgYjm1tdkZmdAo9zDlkqJcgC	2023-04-28T21:02:17.118Z	2023-04-28T21:18:07.179Z	157175815	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	Copy of Private Event - Cali Love	video/quicktime	1t6u1uHu-EZJqxx7_xURH7Hu3pFtSCV8V	https://drive.google.com/file/d/1t6u1uHu-EZJqxx7_xURH7Hu3pFtSCV8V/view	https://drive.google.com/uc?export=download&id=1t6u1uHu-EZJqxx7_xURH7Hu3pFtSCV8V	2023-04-28T20:16:52.200Z	2023-04-28T20:16:52.200Z	101853727	1920	1080	Landscape
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	Brick House.mov	video/quicktime	1ks2BMuyFWntxnqR0v88rFv-1FXBz-OIU	https://drive.google.com/file/d/1ks2BMuyFWntxnqR0v88rFv-1FXBz-OIU/view	https://drive.google.com/uc?export=download&id=1ks2BMuyFWntxnqR0v88rFv-1FXBz-OIU	2025-11-17T19:10:04.643Z	2025-11-17T20:07:23.497Z	31260387	720	1280	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	MSV 2024-12-16_MSV.MOV	video/quicktime	1g7pAM17alArPMvjB1mXHOM-na00Vox7E	https://drive.google.com/file/d/1g7pAM17alArPMvjB1mXHOM-na00Vox7E/view	https://drive.google.com/uc?export=download&id=1g7pAM17alArPMvjB1mXHOM-na00Vox7E	2025-11-17T19:20:24.955Z	2025-11-17T19:20:24.955Z	68002444	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	10. Cake By The Ocean.mov	video/quicktime	1tPA3_Bzat0HXov6iTPuHf5fqSx5Bmyy5	https://drive.google.com/file/d/1tPA3_Bzat0HXov6iTPuHf5fqSx5Bmyy5/view	https://drive.google.com/uc?export=download&id=1tPA3_Bzat0HXov6iTPuHf5fqSx5Bmyy5	2025-11-17T18:56:32.186Z	2025-11-17T19:03:13.558Z	117525192	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	Bass Solo.MP4	video/mp4	11Nx5gl98-q66RUzsSkvXGp53GxvRpILj	https://drive.google.com/file/d/11Nx5gl98-q66RUzsSkvXGp53GxvRpILj/view	https://drive.google.com/uc?export=download&id=11Nx5gl98-q66RUzsSkvXGp53GxvRpILj	2023-07-20T06:09:20.242Z	2025-11-17T19:02:28.612Z	75817392	1080	1920	Portrait
10y_rq9wbpuwr6UkcCQdTdPhnjlTsnbCE	At Last.mov	video/quicktime	1jofqJ5i-mARaKS2reZUhPH3A87rWECAu	https://drive.google.com/file/d/1jofqJ5i-mARaKS2reZUhPH3A87rWECAu/view	https://drive.google.com/uc?export=download&id=1jofqJ5i-mARaKS2reZUhPH3A87rWECAu	2025-11-17T18:38:11.019Z	2025-11-17T19:02:03.866Z	37091653	1080	1920	Portrait
